Titles,ShelterName,Provider,Facility,DHS Building ID,Facility Type,Borough,Landlord,Open Violations,New Violations,Closed Violations,Total Open Violations ,location,latitude,longitude
"NAICA Courtlandt THF, NAICA, Adult Shelter",NAICA Courtlandt THF, NAICA, Adult Shelter,35599.0,Adult Shelter,Bronx,X FRANKLIN AVE HOUSING DEVELOPMENT FUND CORP,0.0,0.0,0.0,0.0,{'lat': 40.826724 'lng': -73.9215699},40.826724,-73.9215699
"Reaching New Heights Residence, Bowery Residents Committee Inc., Adult Shelter",Reaching New Heights Residence, Bowery Residents Committee Inc., Adult Shelter,1652.0,Adult Shelter,Bronx,CASA ESPERANZA HOUSING DEVEL. FUND,0.0,0.0,0.0,0.0,{'lat': 40.8626252 'lng': -73.91127949999999},40.8626252,-73.9112795
"Van Siclen Shelter, Samaritan Daytop Village, Adult Shelter",Van Siclen Shelter, Samaritan Daytop Village, Adult Shelter,488450.0,Adult Shelter,Bronx,TASMA REALTY CORP,0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"Sackett Rapid Re-Housing Center, Westhab Inc, Adult Shelter",Sackett Rapid Re-Housing Center, Westhab Inc, Adult Shelter,114177.0,Adult Shelter,Bronx,X COURTLANDT AVENUE,0.0,0.0,0.0,0.0,{'lat': 40.8436437 'lng': -73.8540003},40.8436437,-73.8540003
"Turning Point, Turning Point Red Hook, Adult Shelter",Turning Point, Turning Point Red Hook, Adult Shelter,189457.0,Adult Shelter,Bronx,Not On File,1.0,0.0,0.0,1.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"49th Street Residence, Samaritan Daytop Village, Adult Shelter",49th Street Residence, Samaritan Daytop Village, Adult Shelter,1025.0,Adult Shelter,Brooklyn,YWCA OF BROOKLYN CONDOMINIUM,1.0,0.0,1.0,0.0,{'lat': 40.6390264 'lng': -73.9987286},40.6390264,-73.9987286
"Second Avenue Mens Shelter, Samaritan Daytop Village, Adult Shelter",Second Avenue Mens Shelter, Samaritan Daytop Village, Adult Shelter,497408.0,Adult Shelter,Brooklyn,X SC PROP OWNER LLC,0.0,0.0,0.0,0.0,{'lat': 40.648036 'lng': -74.0175695},40.648036,-74.0175695
"Park Slope Women's Shelter, CAMBA, Adult Shelter",Park Slope Women's Shelter, CAMBA, Adult Shelter,1019.0,Adult Shelter,Brooklyn,TURNING POINT HSNG DVLPT,1.0,0.0,1.0,0.0,{'lat': 40.6710672 'lng': -73.98142279999999},40.6710672,-73.9814228
"Prospect Place, Center For Urban Community Services, Adult Shelter",Prospect Place, Center For Urban Community Services, Adult Shelter,71172.0,Adult Shelter,Brooklyn,X STREET SAI LLC,0.0,0.0,0.0,0.0,{'lat': 40.6740183 'lng': -73.9445599},40.6740183,-73.9445599
"Atlantic Assessment Shelter, NYC Department Of Homeless Services, Adult Shelter",Atlantic Assessment Shelter, NYC Department Of Homeless Services, Adult Shelter,521985.0,Adult Shelter,Brooklyn,"X 2ND OWNR, LLC",0.0,0.0,0.0,0.0,{'lat': 40.6767676 'lng': -73.9173948},40.6767676,-73.9173948
"CAMBA/Atlantic House Men's Shelter, CAMBA, Adult Shelter",CAMBA/Atlantic House Men's Shelter, CAMBA, Adult Shelter,1005.0,Adult Shelter,Brooklyn,NYC Owned (DHS),0.0,0.0,0.0,0.0,{'lat': 40.6757471 'lng': -73.9053524},40.6757471,-73.9053524
"Saratoga Women's Shelter, HELP USA, Adult Shelter",Saratoga Women's Shelter, HELP USA, Adult Shelter,147201.0,Adult Shelter,Brooklyn,X PROSPECT LLC,1.0,0.0,1.0,0.0,{'lat': 40.673223 'lng': -73.900227},40.673223,-73.900227
